ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,NONE
-1,6.52091,4.611073,6.489857,4.588929,15.98893,0.2757355,3.105008,0.4736011,NONE
-1,6.520905,4.611069,6.489862,4.588933,15.98893,0.275739,3.105008,0.4861709,NONE
-1,6.520902,4.611067,6.489865,4.588934,15.98893,0.2757403,3.105008,0.4919935,NONE
-1,6.520902,4.611067,6.489865,4.588934,15.98893,0.2757425,3.105008,0.5041745,NONE
-1,6.520895,4.611062,6.489871,4.588939,15.98894,0.2757471,3.105021,0.6041594,NONE
-1,6.520889,4.611057,6.489878,4.588944,15.98894,0.2757438,3.105021,0.7030256,NONE
-1,6.520883,4.611053,6.489885,4.588949,15.98895,0.2757459,3.105041,0.8051574,NONE
-1,6.520876,4.611048,6.489892,4.588953,15.98895,0.275744,3.10506,0.9234175,NONE
-1,6.520871,4.611044,6.489897,4.588957,15.98896,0.2757442,3.105072,1.001325,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105091,1.10073,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757453,3.105116,1.200853,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757447,3.10514,1.30344,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757448,3.105163,1.403808,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275744,3.105185,1.504764,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757439,3.105191,1.60439,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275745,3.105213,1.700735,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757451,3.105237,1.803836,NONE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757434,3.105253,1.903388,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275744,3.105261,2.005458,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105276,2.101981,LEFT_ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757431,3.10528,2.201481,LEFT_ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757435,3.105283,2.302602,LEFT_ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757433,3.105286,2.404868,LEFT_ACCELERATE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757438,3.10529,2.502895,ACCELERATE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757435,3.10529,2.60166,ACCELERATE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.10529,2.70229,ACCELERATE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757436,3.10529,2.804271,ACCELERATE
-1,6.520868,4.611042,6.4899,4.588959,15.98896,0.2757437,3.10529,2.901263,LEFT_ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105299,3.004662,LEFT_ACCELERATE
-1,6.598155,4.613028,6.415496,4.587557,15.98703,0.2757249,3.137386,3.103631,LEFT_ACCELERATE
-1,6.625801,4.617417,6.389739,4.583546,15.98283,0.2757063,3.307494,3.203205,ACCELERATE
-1,6.632756,4.622175,6.382991,4.57879,15.97801,0.2756989,3.618319,3.303013,ACCELERATE
-1,6.642327,4.628698,6.373707,4.572271,15.9714,0.2846029,4.068529,3.405051,ACCELERATE
-1,6.653635,4.636476,6.362733,4.564497,15.96357,0.2778058,4.606526,3.501207,ACCELERATE
-1,6.66803,4.646483,6.348752,4.55449,15.95343,0.2800306,5.301573,3.603437,ACCELERATE
-1,6.684444,4.657882,6.332813,4.543092,15.94197,0.2788584,6.08883,3.703093,ACCELERATE
-1,6.703192,4.670865,6.314612,4.530111,15.9288,0.2793153,6.993786,3.804836,ACCELERATE
-1,6.722724,4.684423,6.295647,4.516555,15.91514,0.2790497,7.93178,3.90076,ACCELERATE
-1,6.745733,4.700375,6.273311,4.500605,15.89918,0.2792097,9.019002,4.003583,LEFT_ACCELERATE
-1,6.874875,4.730407,6.159855,4.472927,15.86853,0.2791312,10.11619,4.100862,ACCELERATE
-1,6.93198,4.768948,6.105919,4.434425,15.83069,0.2791743,11.34306,4.203883,ACCELERATE
-1,6.983417,4.804401,6.057177,4.398968,15.79519,0.2791521,12.55375,4.301031,ACCELERATE
