ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,9.143733,5.790745,4.222764,3.758852,14.88762,0.2791837,38.68326,6.101184,LEFT_ACCELERATE
-1,9.599697,6.305193,3.633513,3.188596,14.22581,0.2791698,40.08997,6.205595,LEFT_ACCELERATE
-1,9.510877,6.628472,3.321009,2.72965,13.61712,0.2791644,41.40939,6.303162,ACCELERATE
-1,9.270212,6.846771,3.177901,2.412064,13.02397,0.2791616,42.74723,6.401419,ACCELERATE
-1,8.92532,6.966532,3.255921,2.241124,12.43954,0.2791608,44.09984,6.500343,LEFT_ACCELERATE
-1,8.636737,7.007489,3.468516,2.192103,11.79904,0.2791608,45.51682,6.604782,LEFT_ACCELERATE
-1,8.647197,7.048689,3.438421,2.15523,11.08476,0.2791761,46.77941,6.702356,LEFT_ACCELERATE
-1,8.941178,7.150999,3.078136,2.052914,10.19335,0.2791999,47.9353,6.800682,LEFT_ACCELERATE
-1,9.594877,7.398414,2.485347,1.833953,9.078795,0.279215,48.9319,6.901521,LEFT_ACCELERATE
-1,-1,7.788299,1.890761,1.485394,7.768538,0.2792013,49.73927,7.005273,LEFT_ACCELERATE
-1,-1,8.154506,1.407834,1.113369,6.44042,0.2791852,50.35638,7.10376,LEFT_ACCELERATE
-1,-1,8.408344,1.100489,0.8207408,5.081908,0.2791711,50.92323,7.202619,LEFT_ACCELERATE
-1,-1,8.507615,1.040367,0.7003221,3.734241,0.2791644,51.51303,7.301405,ACCELERATE
-1,9.797665,8.484497,1.295999,0.7708942,2.311936,0.279162,52.1677,7.406533,ACCELERATE
-1,9.243068,8.35498,1.944664,1.003974,0.977523,0.2791611,52.80067,7.50569,ACCELERATE
-1,8.700906,8.105403,3.026699,1.365092,-0.3538924,0.2791602,53.42511,7.604434,LEFT_ACCELERATE
-1,8.403828,7.761317,3.785065,1.717825,-1.724789,0.2791689,53.95429,7.703239,LEFT_ACCELERATE
-1,7.73668,7.057549,3.969579,2.007371,-3.155473,0.2791755,54.33223,7.802742,LEFT_ACCELERATE
-1,7.03301,6.240217,4.348536,2.291409,-4.58796,0.2791663,54.6344,7.901054,ACCELERATE
-1,7.013195,6.21431,4.968012,2.623732,-6.048201,0.2791627,54.95528,8.001436,LEFT_ACCELERATE
-1,6.004868,5.136534,5.219815,2.916929,-7.559023,0.2791615,55.2544,8.104887,LEFT_ACCELERATE
-1,3.418451,2.684121,-1,-1,-9.057672,0.2791786,55.39889,8.206182,LEFT_ACCELERATE
-1,0.9975848,0.7264726,-1,-1,-10.47767,0.2791761,55.37585,8.301673,LEFT_ACCELERATE
-1,0.8524578,0.6179841,-1,-1,-12.0188,0.279168,55.28359,8.405347,ACCELERATE
-1,0.8522128,0.6177681,-1,-1,-13.47472,0.279163,55.21371,8.503214,ACCELERATE
-1,0.8467247,0.6136825,-1,-1,-14.93962,0.2791618,55.16176,8.601625,ACCELERATE
-1,0.8429291,0.6108606,-1,-1,-16.49183,0.2791604,55.11942,8.705873,ACCELERATE
-1,0.840814,0.609289,-1,-1,-17.95171,0.2791609,55.08721,8.803907,ACCELERATE
-1,0.8395678,0.6083632,-1,-1,-19.42369,0.2791605,55.05962,8.902745,ACCELERATE
-1,0.8387828,0.6077802,-1,-1,-20.89172,0.2791601,55.03532,9.001315,ACCELERATE
-1,0.8383408,0.6074516,-1,-1,-22.44499,0.2791604,55.01196,9.105602,ACCELERATE
-1,1.327077,0.9757005,-1,-1,-23.92112,0.2791604,54.9702,9.20477,LEFT_ACCELERATE
-1,3.514525,2.517487,-1,-1,-25.36723,0.2791725,54.81472,9.302578,LEFT_ACCELERATE
-1,3.027799,2.286205,-1,-1,-26.79718,0.2791851,54.47007,9.401584,LEFT_ACCELERATE
-1,2.628111,2.001523,9.763913,-1,-28.18837,0.2791773,53.97303,9.500893,LEFT_ACCELERATE
-1,2.464639,1.773049,9.612227,-1,-29.5698,0.2791679,53.43362,9.600474,ACCELERATE
-1,2.556786,1.680595,9.271588,7.533805,-30.96668,0.279161,52.89967,9.700885,LEFT_ACCELERATE
-1,2.638464,1.656214,9.111296,7.561544,-32.33276,0.2791636,52.29692,9.801208,LEFT_ACCELERATE
-1,3.066833,1.709615,8.74972,7.539619,-33.67799,0.2791631,51.63213,9.901962,ACCELERATE
-1,4.317782,1.933653,8.224477,7.411186,-35.06605,0.2791619,50.93774,10.00618,LEFT_ACCELERATE
-1,5.643337,2.184041,7.898647,7.194298,-36.28009,0.279167,50.23306,10.10054,LEFT_ACCELERATE
-1,5.823736,2.390247,7.754112,6.951936,-37.47614,0.2791935,49.31964,10.20186,LEFT_ACCELERATE
-1,4.83967,2.458351,7.911969,6.800656,-38.50683,0.2792136,48.19002,10.30499,LEFT_ACCELERATE
-1,4.118367,2.410091,8.236999,6.802964,-39.26549,0.2792081,46.96881,10.40196,LEFT_ACCELERATE
-1,3.70489,2.299034,8.510769,6.906066,-39.87474,0.2791917,45.60166,10.50271,LEFT_ACCELERATE
-1,3.692293,2.219062,8.498659,6.990702,-40.39669,0.2791744,44.17796,10.60457,LEFT_ACCELERATE
-1,4.280923,2.288115,8.140901,6.981627,-40.92003,0.2791655,42.76364,10.70584,LEFT_ACCELERATE
-1,4.810955,2.440315,7.901552,6.858152,-41.39178,0.2791616,41.41903,10.80155,LEFT_ACCELERATE
-1,4.668401,2.555014,7.927958,6.710951,-41.75538,0.2791791,39.93565,10.90431,LEFT_ACCELERATE
-1,4.224895,2.570787,8.318367,6.66018,-41.91947,0.2791812,38.43006,11.00621,LEFT_ACCELERATE
-1,4.043442,2.583151,8.589017,6.648295,-41.97427,0.2982243,37.00844,11.10171,LEFT_ACCELERATE
-1,4.118573,2.656816,8.553167,6.57851,-42.05367,0.2839535,35.51441,11.20282,ACCELERATE
-1,4.2771,2.760981,8.421947,6.473842,-42.1589,0.2810313,34.00098,11.30478,ACCELERATE
-1,4.457381,2.876586,8.269949,6.358432,-42.27381,0.2793751,32.48307,11.40693,ACCELERATE
-1,4.588836,2.98256,8.174564,6.247436,-42.3807,0.2794058,31.0764,11.50165,LEFT_ACCELERATE
-1,4.373393,3.022951,8.54686,6.179374,-42.41966,0.2791247,29.55571,11.60387,LEFT_ACCELERATE
-1,3.866931,2.916847,9.552281,6.303626,-42.29743,0.2791979,28.03767,11.70629,LEFT_ACCELERATE
-1,3.527435,2.737564,-1,6.506097,-42.11005,0.2791449,26.63413,11.80137,ACCELERATE
-1,3.280598,2.546756,-1,6.697197,-41.92086,0.2791725,25.13626,11.90274,ACCELERATE
-1,3.054065,2.370336,-1,6.873385,-41.74649,0.2791566,23.63346,12.00431,ACCELERATE
-1,2.839013,2.20308,-1,7.040487,-41.58028,0.2791616,22.11504,12.10686,ACCELERATE
-1,2.645493,2.052725,-1,7.190754,-41.4304,0.2791586,20.69239,12.2029,ACCELERATE
-1,2.446435,1.898163,-1,7.345261,-41.27754,0.2791612,19.20346,12.30338,ACCELERATE
-1,2.25009,1.745765,-1,7.497628,-41.12638,0.2791606,17.70426,12.40454,ACCELERATE
-1,2.055206,1.594536,-1,7.648842,-40.97585,0.2791604,16.1931,12.50649,ACCELERATE
-1,1.874061,1.453987,-1,7.789386,-40.83545,0.2791602,14.77234,12.60234,ACCELERATE
-1,1.679226,1.302826,-1,7.940547,-40.68591,0.2791601,13.25106,12.70496,ACCELERATE
-1,1.497412,1.161772,-1,8.081606,-40.54524,0.2791607,11.81491,12.80184,ACCELERATE
-1,1.303262,1.011149,-1,8.232238,-40.39544,0.2791602,10.28178,12.90526,ACCELERATE
8.947917,1.121487,0.8701261,-1,8.373271,-40.25557,0.279161,8.848145,13.00196,ACCELERATE
7.405421,0.928278,0.7202305,-1,8.523178,-40.10621,0.2791607,7.31565,13.10533,ACCELERATE
8.528811,0.7888988,0.596875,-1,8.625627,-39.99023,0.2791553,5.873121,13.20258,ACCELERATE
-1,0.7841125,0.5622251,-1,8.63868,-39.96176,0.2791567,4.319464,13.30693,ACCELERATE
-1,0.7841377,0.559619,-1,8.640779,-39.95951,0.2791596,2.868167,13.40437,ACCELERATE
-1,0.7841411,0.5586494,-1,8.641612,-39.95856,0.27916,1.423334,13.50137,ACCELERATE
-1,0.7841042,0.5577931,-1,8.642375,-39.95772,0.2791602,-0.1252371,13.60533,ACCELERATE
-1,0.7840537,0.557145,-1,8.642967,-39.95709,0.2791604,-1.552415,13.70115,ACCELERATE
-1,0.7840179,0.5565856,-1,8.643487,-39.95654,0.2791603,-3.092871,13.80457,ACCELERATE
-1,0.7839885,0.5561646,-1,8.643885,-39.95613,0.2791608,-4.525718,13.90076,ACCELERATE
-1,0.7839881,0.5560039,-1,8.644037,-39.956,0.2791608,-6.070431,14.00446,ACCELERATE
-1,0.7839862,0.5560039,-1,8.644037,-39.956,0.2791603,-7.552631,14.10397,ACCELERATE
-1,0.7839859,0.5560039,-1,8.644037,-39.956,0.2791607,-8.99617,14.20088,ACCELERATE
-1,0.7839929,0.5560077,-1,8.644033,-39.95601,0.2791596,-10.53156,14.30396,ACCELERATE
-1,0.7839926,0.5560077,-1,8.644033,-39.95601,0.2791605,-11.97626,14.40095,ACCELERATE
-1,0.7839929,0.5560077,-1,8.644033,-39.956,0.2791601,-13.51344,14.50415,ACCELERATE
-1,0.7839915,0.5560077,-1,8.644033,-39.95601,0.2791609,-14.96766,14.60178,ACCELERATE
-1,0.7839915,0.5560077,-1,8.644033,-39.956,0.2791603,-16.51389,14.70558,ACCELERATE
-1,0.7839861,0.5560039,-1,8.644037,-39.956,0.279161,-17.95206,14.80214,ACCELERATE
-1,0.7839916,0.5560077,-1,8.644033,-39.95601,0.2791604,-19.49757,14.90589,ACCELERATE
-1,0.783993,0.5560077,-1,8.644033,-39.95601,0.2791602,-20.94313,15.00294,ACCELERATE
-1,0.7839879,0.5560039,-1,8.644037,-39.97818,0.2791636,-22.45592,15.10523,ACCELERATE
-1,2.602433,1.020846,8.824158,8.70527,-40.37852,0.2792428,-23.72974,15.20204,ACCELERATE
-1,-1,1.649052,8.02094,8.487479,-40.80928,0.2791091,-25.05089,15.30066,LEFT_ACCELERATE
-1,-1,2.41826,7.334531,7.861617,-41.26469,0.2791839,-26.43481,15.40225,LEFT_ACCELERATE
-1,-1,3.10709,6.734614,7.092064,-41.61455,0.2791679,-27.90454,15.50629,LEFT_ACCELERATE
-1,-1,3.527236,6.358685,6.404414,-41.73901,0.2792055,-29.31841,15.60346,LEFT_ACCELERATE
-1,-1,3.750302,6.198668,5.851468,-41.59013,0.2792145,-30.82754,15.70714,LEFT_ACCELERATE
-1,-1,3.818233,6.257085,5.561341,-41.18129,0.2792205,-32.19851,15.8049,LEFT_ACCELERATE
-1,-1,3.77518,6.522198,5.47213,-40.52827,0.2792191,-33.4718,15.90266,LEFT_ACCELERATE
-1,6.405181,3.630955,7.016767,5.567077,-39.65158,0.27922,-34.60889,16.00073,LEFT_ACCELERATE
-1,4.960414,3.378721,7.74919,5.845429,-38.54139,0.2792155,-35.60131,16.10244,LEFT_ACCELERATE
-1,4.096354,3.036761,8.465747,6.233776,-37.27522,0.2791975,-36.41723,16.20506,LEFT_ACCELERATE
-1,3.562441,2.651231,8.882548,6.609358,-35.9688,0.2791811,-37.10181,16.30482,LEFT_ACCELERATE
-1,3.176862,2.333299,9.156712,6.915297,-34.64027,0.2791703,-37.71364,16.40314,LEFT_ACCELERATE
-1,2.903773,2.057633,9.277817,7.161664,-33.22728,0.2791677,-38.2686,16.5051,LEFT_ACCELERATE
-1,3.01795,1.9364,8.993553,7.271845,-31.90946,0.279163,-38.79515,16.6004,ACCELERATE
-1,3.534591,1.992368,8.555999,7.259048,-30.50543,0.2791623,-39.38917,16.70276,ACCELERATE
-1,4.473509,2.20608,8.085419,7.122131,-29.10272,0.2791601,-39.99256,16.80528,LEFT_ACCELERATE
-1,4.973015,2.432127,7.849373,6.927265,-27.77026,0.2791663,-40.48164,16.90069,LEFT_ACCELERATE
-1,4.680011,2.57081,6.788912,5.986613,-26.30404,0.2791884,-40.82641,17.00207,LEFT_ACCELERATE
-1,-1,-1,2.871441,2.217396,-24.81946,0.2792032,-40.92495,17.10233,LEFT_ACCELERATE
-1,-1,-1,1.220786,0.8952496,-23.34194,0.2791889,-40.80849,17.20209,LEFT_ACCELERATE
-1,-1,-1,2.920061,2.263465,-21.86588,0.2791751,-40.57743,17.30246,LEFT_ACCELERATE
-1,-1,-1,2.578874,2.015037,-20.40789,0.2791647,-40.34556,17.4016,ACCELERATE
-1,-1,-1,2.297534,1.794421,-18.87041,0.2791625,-40.1335,17.50581,ACCELERATE
-1,-1,-1,2.059091,1.607692,-17.41939,0.2791605,-39.9524,17.60398,ACCELERATE
-1,-1,-1,1.834533,1.432087,-15.95605,0.2791603,-39.78154,17.70289,ACCELERATE
-1,-1,-1,1.620768,1.265074,-14.50224,0.2791592,-39.61933,17.8011,ACCELERATE
-1,-1,-1,1.399609,1.092366,-12.95515,0.2791601,-39.45209,17.90557,ACCELERATE
-1,-1,-1,1.196691,0.9339532,-11.49513,0.2791591,-39.29758,18.00413,ACCELERATE
-1,-1,-1,0.9965625,0.7777475,-10.04133,0.279159,-39.14587,18.10227,ACCELERATE
-1,-1,-1,0.8180223,0.6319253,-8.575405,0.2791606,-39.00434,18.2012,ACCELERATE
-1,-1,-1,0.8432052,0.6110831,-7.019121,0.2791554,-38.96055,18.30578,ACCELERATE
-1,-1,-1,0.7513302,0.543018,-5.557906,0.2791583,-38.95699,18.40388,ACCELERATE
-1,-1,-1,0.7871298,0.5695112,-4.09446,0.279162,-38.956,18.50216,LEFT_ACCELERATE
-1,-1,-1,0.832342,0.5843846,-2.605799,0.2791858,-38.89943,18.60233,LEFT_ACCELERATE
-1,-1,-1,0.7818053,0.5479857,-1.150194,0.2792255,-38.75289,18.70079,LEFT_ACCELERATE
-1,-1,-1,0.7692783,0.5419801,0.3702063,0.2792763,-38.47515,18.80482,LEFT_ACCELERATE
-1,-1,-1,0.7828764,0.5494723,1.800094,0.2792743,-38.09906,18.90454,LEFT_ACCELERATE
