ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.522019,4.611084,6.488753,4.588917,15.98892,0.261022,3.105309,0.1004862,NONE
-1,6.522387,4.61108,6.488388,4.588921,15.98892,0.2720782,3.10515,0.2061119,NONE
-1,6.522397,4.611075,6.488378,4.588926,15.98892,0.2749707,3.105119,0.3021756,NONE
-1,6.522393,4.611071,6.488383,4.588931,15.98893,0.2756398,3.105109,0.4053336,NONE
-1,6.522384,4.611065,6.48839,4.588936,15.98894,0.2757383,3.105109,0.5059348,ACCELERATE
-1,6.522378,4.61106,6.488397,4.588941,15.98894,0.2757477,3.10512,0.6017355,ACCELERATE
-1,6.522373,4.611056,6.488402,4.588945,15.98895,0.2757447,3.105123,0.7041227,ACCELERATE
-1,6.522365,4.611051,6.48841,4.588951,15.98895,0.2757441,3.105134,0.8043286,ACCELERATE
-1,6.522358,4.611046,6.488417,4.588955,15.98895,0.2757436,3.105146,0.9053719,ACCELERATE
-1,6.522353,4.611042,6.488422,4.588959,15.98896,0.2757434,3.105153,1.00132,ACCELERATE
-1,6.52235,4.61104,6.488425,4.588961,15.98896,0.2757434,3.105165,1.105125,ACCELERATE
-1,6.522347,4.611038,6.488428,4.588963,15.98896,0.2757433,3.105166,1.203889,ACCELERATE
-1,6.52235,4.61104,6.488425,4.588961,15.98896,0.2757446,3.105181,1.300153,ACCELERATE
-1,6.52235,4.61104,6.488425,4.588961,15.98896,0.2757437,3.105191,1.402729,ACCELERATE
-1,6.522349,4.611039,6.488427,4.588962,15.98896,0.2757438,3.105195,1.502989,ACCELERATE
-1,6.522349,4.611039,6.488427,4.588962,15.98896,0.2757434,3.105199,1.604949,ACCELERATE
-1,6.522347,4.611038,6.488428,4.588963,15.98896,0.2757433,3.105199,1.700539,ACCELERATE
-1,6.522349,4.611039,6.488427,4.588962,15.98896,0.2757435,3.105199,1.804355,ACCELERATE
-1,6.522347,4.611038,6.488428,4.588963,15.98896,0.2757436,3.105199,1.904444,ACCELERATE
-1,6.522347,4.611038,6.488428,4.588963,15.98896,0.2757435,3.105199,2.001446,ACCELERATE
-1,6.522347,4.611038,6.488428,4.588963,15.98896,0.2757435,3.105199,2.102543,ACCELERATE
-1,6.522349,4.611039,6.488427,4.588962,15.98896,0.2757436,3.105199,2.203897,ACCELERATE
-1,6.522349,4.611039,6.488427,4.588962,15.98896,0.2757436,3.105199,2.305896,ACCELERATE
-1,6.522348,4.611039,6.488426,4.588962,15.98896,0.2757435,3.105201,2.402032,ACCELERATE
-1,6.522349,4.611039,6.488427,4.588962,15.98896,0.2757435,3.10521,2.504679,LEFT_ACCELERATE
-1,6.52235,4.61104,6.488425,4.588961,15.98896,0.2757435,3.105213,2.605518,LEFT_ACCELERATE
-1,6.522348,4.611039,6.488426,4.588962,15.98896,0.2757431,3.105213,2.702228,LEFT_ACCELERATE
