A,B,C,D,E,F,G,H,I,action
-1,8.041651,5.559669,5.001435,3.644626,15.04009,0.2791597,32.85129,5.700786,ACCELERATE
-1,7.941233,5.607087,4.956856,3.597214,14.99245,0.2791596,34.40871,5.805392,LEFT_ACCELERATE
-1,7.946643,5.678037,4.866397,3.536048,14.92482,0.2791602,35.82722,5.90076,LEFT_ACCELERATE
-1,8.338655,5.88526,4.458532,3.379968,14.72989,0.2791739,37.32111,6.002079,LEFT_ACCELERATE
-1,8.864288,6.204609,3.939756,3.096295,14.3713,0.2791752,38.75224,6.101298,LEFT_ACCELERATE
-1,8.935926,6.478558,3.669971,2.783428,13.92412,0.2791675,40.21337,6.203908,ACCELERATE
-1,8.666658,6.62919,3.715294,2.58519,13.49631,0.279163,41.65407,6.304814,ACCELERATE
-1,8.349159,6.680018,3.982969,2.520159,13.08187,0.2791603,43.07116,6.403943,LEFT_ACCELERATE
-1,8.257421,6.698279,4.091307,2.500478,12.57747,0.2791654,44.49497,6.505477,LEFT_ACCELERATE
-1,8.450044,6.761576,3.813525,2.436232,11.93057,0.2791899,45.79286,6.603093,LEFT_ACCELERATE
-1,8.993687,6.958632,3.198687,2.25978,11.06525,0.2792119,46.98265,6.702273,LEFT_ACCELERATE
-1,9.827859,7.330608,2.49438,1.957859,9.986065,0.2792182,47.98933,6.801878,LEFT_ACCELERATE
-1,-1,7.837251,1.802201,1.515854,8.697623,0.2792051,48.81794,6.905267,LEFT_ACCELERATE
-1,-1,8.33205,1.19388,1.017258,7.359953,0.2791865,49.4614,7.005147,LEFT_ACCELERATE
-1,-1,8.629582,0.7915068,0.6200999,6.074186,0.2791745,50.03769,7.100133,LEFT_ACCELERATE
-1,-1,8.629629,0.8583245,0.5733756,4.796588,0.2791503,50.83339,7.2022,ACCELERATE
-1,9.784439,8.530696,1.230701,0.724624,3.561593,0.2791674,51.63184,7.301059,ACCELERATE
-1,9.131222,8.331797,2.075239,1.035813,2.266261,0.2791569,52.45643,7.404148,ACCELERATE
-1,8.467429,8.051912,3.710389,1.47929,1.027229,0.2791616,53.23721,7.502469,ACCELERATE
-1,7.772875,7.664839,6.651338,2.069842,-0.2451508,0.2791602,54.02566,7.602969,LEFT_ACCELERATE
-1,7.228437,7.151368,7.769034,2.644135,-1.521108,0.2791658,54.7217,7.700662,LEFT_ACCELERATE
-1,6.937414,6.580547,7.113588,3.083726,-2.967111,0.2791886,55.29282,7.805321,LEFT_ACCELERATE
-1,6.934136,6.151893,6.31057,3.325819,-4.406196,0.2791882,55.62563,7.90476,LEFT_ACCELERATE
-1,5.329545,4.458179,6.045224,3.492391,-5.860679,0.2791765,55.82149,8.003385,LEFT_ACCELERATE
-1,4.994068,4.125525,6.228315,3.663048,-7.327311,0.2791658,55.99413,8.102545,ACCELERATE
-1,5.009801,4.139635,-1,-1,-8.798249,0.2791631,56.19191,8.202198,ACCELERATE
-1,5.019728,4.148956,-1,-1,-10.25903,0.2791605,56.40544,8.301316,ACCELERATE
-1,5.025427,4.154392,-1,-1,-11.76732,0.2791605,56.63731,8.403767,ACCELERATE
-1,5.02878,4.157594,-1,-1,-13.23509,0.2791606,56.8701,8.503538,ACCELERATE
-1,5.030632,4.159373,-1,-1,-14.66002,0.2791602,57.1005,8.600443,ACCELERATE
-1,5.010664,4.140082,-1,-1,-16.16893,0.2791606,57.34701,8.703089,LEFT_ACCELERATE
-1,3.91474,3.120924,-1,-1,-17.65018,0.2791613,57.54439,8.803473,LEFT_ACCELERATE
